country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",18-11-2025 17:00,16.9872867,81.7363176,NH3,1,3,2
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",18-11-2025 17:00,16.5150833,80.5181667,PM10,75,160,112
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",18-11-2025 17:00,13.20488,79.097889,PM10,11,175,84
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",18-11-2025 17:00,13.20488,79.097889,SO2,7,34,16
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",18-11-2025 17:00,14.465052,78.824187,PM10,63,73,64
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",18-11-2025 17:00,14.675886,77.593027,PM10,64,81,72
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",18-11-2025 17:00,14.465052,78.824187,NO2,17,28,19
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",18-11-2025 17:00,14.675886,77.593027,SO2,12,18,14
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB",18-11-2025 17:00,13.67,79.35,OZONE,18,356,39
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB",18-11-2025 17:00,13.67,79.35,NO2,14,24,18
India,Assam,Guwahati,"IITG, Guwahati - PCBA",18-11-2025 17:00,26.2028636,91.70046436,NH3,5,5,5
India,Assam,Guwahati,"IITG, Guwahati - PCBA",18-11-2025 17:00,26.2028636,91.70046436,OZONE,1,41,28
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",18-11-2025 17:00,26.10887,91.589544,CO,26,68,39
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",18-11-2025 17:00,26.1875,91.744194,SO2,28,57,41
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",18-11-2025 17:00,26.349082,92.68449,PM2.5,28,33,29
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",18-11-2025 17:00,26.071318,91.87488,NO2,6,10,7
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",18-11-2025 17:00,26.071318,91.87488,NH3,4,4,4
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",18-11-2025 17:00,17.72,83.3,PM2.5,98,157,129
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",18-11-2025 17:00,16.509717,80.612222,SO2,9,17,12
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB",18-11-2025 17:00,16.554731,80.64911,OZONE,66,96,73
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",18-11-2025 17:00,13.615387,79.40923,NO2,13,18,15
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",18-11-2025 17:00,27.103358,93.679645,OZONE,5,5,5
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",18-11-2025 17:00,26.446912,91.439057,CO,14,30,21
India,Bihar,Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",18-11-2025 17:00,25.204762,85.51496,PM2.5,NA,NA,NA
India,Bihar,Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",18-11-2025 17:00,25.204762,85.51496,NO2,NA,NA,NA
India,Bihar,Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",18-11-2025 17:00,25.204762,85.51496,CO,10,74,13
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB",18-11-2025 17:00,25.56752,83.966379,PM10,62,147,112
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB",18-11-2025 17:00,25.56752,83.966379,NO2,9,11,10
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",18-11-2025 17:00,25.560083,87.553265,PM10,9,103,57
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",18-11-2025 17:00,26.0881305,87.93840336,NO2,8,11,10
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",18-11-2025 17:00,26.0881305,87.93840336,SO2,6,9,8
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",18-11-2025 17:00,26.0881305,87.93840336,CO,16,20,18
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",18-11-2025 17:00,26.987634,94.636574,CO,6,75,13
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",18-11-2025 17:00,26.146529,87.454184,SO2,15,21,19
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB",18-11-2025 17:00,26.63086,84.90051,PM10,40,135,95
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB",18-11-2025 17:00,26.63086,84.90051,SO2,3,3,3
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",18-11-2025 17:00,25.251013,86.989001,NH3,NA,NA,NA
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",18-11-2025 17:00,25.251013,86.989001,OZONE,14,16,15
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB",18-11-2025 17:00,25.42742023,86.13886079,CO,60,86,75
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",18-11-2025 17:00,25.265194,87.012947,PM10,31,134,98
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",18-11-2025 17:00,24.762518,84.982348,CO,22,44,34
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",18-11-2025 17:00,24.7955,84.9994,PM2.5,NA,NA,NA
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC",18-11-2025 17:00,30.719859,76.738637,NH3,4,6,5
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC",18-11-2025 17:00,30.719859,76.738637,CO,8,130,43
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB",18-11-2025 17:00,21.194815,81.31477,PM2.5,46,69,56
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB",18-11-2025 17:00,21.194815,81.31477,SO2,6,75,27
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB",18-11-2025 17:00,21.194815,81.31477,OZONE,4,87,64
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant",18-11-2025 17:00,21.185571,81.343175,PM2.5,62,212,110
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant",18-11-2025 17:00,21.185571,81.343175,PM10,49,152,95
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant",18-11-2025 17:00,21.185571,81.343175,OZONE,8,13,12
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB",18-11-2025 17:00,21.224231,81.40835,PM10,66,112,92
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB",18-11-2025 17:00,25.892357,86.590325,CO,27,40,32
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB",18-11-2025 17:00,25.859655,85.77944,PM10,26,108,66
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB",18-11-2025 17:00,25.859655,85.77944,SO2,26,30,28
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB",18-11-2025 17:00,25.859655,85.77944,CO,NA,NA,NA
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB",18-11-2025 17:00,24.952822,84.002396,NO2,2,3,2
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB",18-11-2025 17:00,24.952822,84.002396,SO2,1,8,4
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB",18-11-2025 17:00,24.952822,84.002396,OZONE,12,17,17
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB",18-11-2025 17:00,26.2271665,84.3570427,PM2.5,23,210,86
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",18-11-2025 17:00,26.1403345,85.3650192,SO2,8,20,11
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",18-11-2025 17:00,26.1403345,85.3650192,OZONE,29,56,50
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",18-11-2025 17:00,26.1209,85.3647,NO2,10,14,12
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",18-11-2025 17:00,26.1209,85.3647,SO2,4,5,5
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",18-11-2025 17:00,25.586562,85.043586,NO2,47,107,69
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",18-11-2025 17:00,25.586562,85.043586,SO2,6,12,9
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",18-11-2025 17:00,25.586562,85.043586,OZONE,8,59,46
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",18-11-2025 17:00,25.592539,85.227158,NH3,4,5,5
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",18-11-2025 17:00,25.610369,85.132568,PM2.5,NA,NA,NA
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",18-11-2025 17:00,25.610369,85.132568,NO2,NA,NA,NA
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB",18-11-2025 17:00,26.2271665,84.3570427,PM10,30,110,71
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",18-11-2025 17:00,30.735567,76.775714,SO2,3,33,13
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC",18-11-2025 17:00,30.751462,76.762879,PM2.5,39,193,95
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC",18-11-2025 17:00,30.751462,76.762879,NH3,7,13,10
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",18-11-2025 17:00,25.599486,85.113666,CO,32,113,51
India,Bihar,Patna,"Samanpura, Patna - BSPCB",18-11-2025 17:00,25.596727,85.085624,PM10,76,177,122
India,Bihar,Patna,"Samanpura, Patna - BSPCB",18-11-2025 17:00,25.596727,85.085624,SO2,2,3,2
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB",18-11-2025 17:00,25.366336,87.117468,PM2.5,8,90,50
India,Bihar,Patna,"Muradpur, Patna - BSPCB",18-11-2025 17:00,25.619651,85.147382,CO,30,69,52
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",18-11-2025 17:00,25.599486,85.113666,PM2.5,78,155,114
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",18-11-2025 17:00,25.599486,85.113666,NH3,1,9,6
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB",18-11-2025 17:00,25.0328,85.41948,PM2.5,42,253,110
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB",18-11-2025 17:00,25.0328,85.41948,CO,77,109,96
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",18-11-2025 17:00,26.11442,85.39813,OZONE,28,183,139
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM",18-11-2025 17:00,28.656756,77.227234,SO2,5,30,16
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM",18-11-2025 17:00,28.656756,77.227234,CO,104,189,111
India,Delhi,Delhi,"DTU, Delhi - CPCB",18-11-2025 17:00,28.7500499,77.1112615,OZONE,13,27,19
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",18-11-2025 17:00,28.498571,77.26484,NH3,8,11,9
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",18-11-2025 17:00,28.498571,77.26484,OZONE,4,145,90
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",18-11-2025 17:00,28.5710274,77.0719006,PM2.5,217,417,370
India,Delhi,Delhi,"Aya Nagar, Delhi - IMD",18-11-2025 17:00,28.4706914,77.1099364,NO2,23,100,55
India,Delhi,Delhi,"Aya Nagar, Delhi - IMD",18-11-2025 17:00,28.4706914,77.1099364,CO,26,136,41
India,Delhi,Delhi,"Aya Nagar, Delhi - IMD",18-11-2025 17:00,28.4706914,77.1099364,OZONE,3,182,123
India,Delhi,Delhi,"Bawana, Delhi - DPCC",18-11-2025 17:00,28.7762,77.051074,NO2,17,109,64
India,Delhi,Delhi,"Burari Crossing, Delhi - IMD",18-11-2025 17:00,28.7256504,77.2011573,PM2.5,275,479,389
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM",18-11-2025 17:00,28.656756,77.227234,PM2.5,303,500,412
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB",18-11-2025 17:00,21.237755,81.705301,SO2,6,11,8
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB",18-11-2025 17:00,21.237755,81.705301,CO,22,40,34
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB",18-11-2025 17:00,22.06631475,83.33820077,PM2.5,53,126,77
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB",18-11-2025 17:00,22.06631475,83.33820077,NH3,1,2,1
India,Delhi,Delhi,"Alipur, Delhi - DPCC",18-11-2025 17:00,28.815329,77.15301,PM2.5,301,486,385
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB",18-11-2025 17:00,21.224231,81.40835,CO,22,58,32
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB",18-11-2025 17:00,22.118125,83.140608,NH3,6,6,6
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB",18-11-2025 17:00,22.118125,83.140608,SO2,2,116,21
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB",18-11-2025 17:00,22.118125,83.140608,CO,28,64,33
India,Chhattisgarh,Korba,"Rampur, Korba - CECB",18-11-2025 17:00,22.368195,82.746431,NH3,2,2,2
India,Chhattisgarh,Korba,"Rampur, Korba - CECB",18-11-2025 17:00,22.368195,82.746431,CO,19,30,21
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB",18-11-2025 17:00,22.1910172,83.5197009,OZONE,15,126,102
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB",18-11-2025 17:00,21.258815,81.578979,CO,32,61,49
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB",18-11-2025 17:00,21.219665,81.630094,CO,32,88,44
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",18-11-2025 17:00,28.73282,77.170633,CO,62,175,88
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",18-11-2025 17:00,28.58028,77.233829,OZONE,2,295,177
India,Delhi,Delhi,"Lodhi Road, Delhi - IMD",18-11-2025 17:00,28.5918245,77.2273074,PM2.5,NA,NA,NA
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB",18-11-2025 17:00,22.12665,83.483212,PM10,36,96,55
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB",18-11-2025 17:00,22.12665,83.483212,CO,4,24,18
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB",18-11-2025 17:00,22.1910172,83.5197009,PM10,50,124,84
India,Delhi,Delhi,"ITO, Delhi - CPCB",18-11-2025 17:00,28.628624,77.24106,PM2.5,86,470,371
India,Delhi,Delhi,"ITO, Delhi - CPCB",18-11-2025 17:00,28.628624,77.24106,PM10,125,439,304
India,Delhi,Delhi,"ITO, Delhi - CPCB",18-11-2025 17:00,28.628624,77.24106,NO2,17,223,124
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",18-11-2025 17:00,28.73282,77.170633,PM2.5,312,500,446
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",18-11-2025 17:00,28.647622,77.315809,PM2.5,253,500,409
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",18-11-2025 17:00,28.647622,77.315809,PM10,179,500,403
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",18-11-2025 17:00,28.695381,77.181665,NO2,60,180,115
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",18-11-2025 17:00,28.531346,77.190156,SO2,2,18,9
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",18-11-2025 17:00,28.672342,77.31526,PM2.5,295,500,432
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",18-11-2025 17:00,28.672342,77.31526,PM10,193,500,402
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC",18-11-2025 17:00,28.699793,77.165453,PM2.5,307,500,441
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM",18-11-2025 17:00,23.107969,72.574648,PM2.5,62,134,95
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM",18-11-2025 17:00,23.107969,72.574648,PM10,105,172,133
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM",18-11-2025 17:00,22.977134,72.553024,OZONE,23,35,30
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB",18-11-2025 17:00,23.002657,72.591912,CO,18,50,38
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB",18-11-2025 17:00,23.002657,72.591912,OZONE,4,49,43
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM",18-11-2025 17:00,23.020509,72.579261,PM10,130,220,165
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM",18-11-2025 17:00,23.020509,72.579261,NO2,32,178,88
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM",18-11-2025 17:00,23.020509,72.579261,SO2,12,22,16
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM",18-11-2025 17:00,23.020509,72.579261,OZONE,4,109,85
India,Delhi,Delhi,"Mundka, Delhi - DPCC",18-11-2025 17:00,28.684678,77.076574,NH3,8,18,15
India,Delhi,Delhi,"Mundka, Delhi - DPCC",18-11-2025 17:00,28.684678,77.076574,SO2,NA,NA,NA
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",18-11-2025 17:00,28.60909,77.0325413,PM10,154,261,201
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",18-11-2025 17:00,28.60909,77.0325413,CO,28,56,37
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC",18-11-2025 17:00,28.570173,76.933762,PM2.5,177,387,323
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC",18-11-2025 17:00,28.570173,76.933762,PM10,142,276,198
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM",18-11-2025 17:00,23.016834,72.625775,SO2,17,82,30
India,Gujarat,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM",18-11-2025 17:00,23.041137,72.456691,PM2.5,91,304,175
India,Gujarat,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM",18-11-2025 17:00,23.041137,72.456691,NH3,2,3,3
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM",18-11-2025 17:00,23.023389,72.515201,PM10,83,114,100
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM",18-11-2025 17:00,23.023389,72.515201,CO,42,106,61
India,Delhi,Delhi,"Pusa, Delhi - IMD",18-11-2025 17:00,28.63611,77.173332,NO2,24,140,84
India,Delhi,Delhi,"R K Puram, Delhi - DPCC",18-11-2025 17:00,28.563262,77.186937,NO2,44,128,89
India,Delhi,Delhi,"R K Puram, Delhi - DPCC",18-11-2025 17:00,28.563262,77.186937,CO,61,160,88
India,Delhi,Delhi,"Rohini, Delhi - DPCC",18-11-2025 17:00,28.732528,77.11992,SO2,2,17,9
India,Delhi,Delhi,"Patparganj, Delhi - DPCC",18-11-2025 17:00,28.623763,77.287209,NO2,56,179,128
India,Delhi,Delhi,"Patparganj, Delhi - DPCC",18-11-2025 17:00,28.623763,77.287209,NH3,8,14,12
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",18-11-2025 17:00,28.674045,77.131023,OZONE,2,129,78
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",18-11-2025 17:00,28.611281,77.237738,NH3,14,22,18
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",18-11-2025 17:00,28.611281,77.237738,CO,14,151,53
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",18-11-2025 17:00,28.611281,77.237738,OZONE,7,232,125
India,Delhi,Delhi,"Shadipur, Delhi - CPCB",18-11-2025 17:00,28.6514781,77.1473105,OZONE,6,40,27
India,Delhi,Delhi,"Sirifort, Delhi - CPCB",18-11-2025 17:00,28.5504249,77.2159377,NO2,40,60,52
India,Delhi,Delhi,"Sirifort, Delhi - CPCB",18-11-2025 17:00,28.5504249,77.2159377,OZONE,6,24,15
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",18-11-2025 17:00,28.56789,77.250515,PM2.5,287,500,411
