country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",2025-11-18 17:00:00,16.9872867,81.7363176,1,1.0,3.0,2.0
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",2025-11-18 17:00:00,16.5150833,80.5181667,4,75.0,160.0,112.0
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",2025-11-18 17:00:00,13.20488,79.097889,4,11.0,175.0,84.0
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",2025-11-18 17:00:00,13.20488,79.097889,6,7.0,34.0,16.0
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",2025-11-18 17:00:00,14.465052,78.824187,4,63.0,73.0,64.0
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",2025-11-18 17:00:00,14.675886,77.593027,4,64.0,81.0,72.0
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",2025-11-18 17:00:00,14.465052,78.824187,2,17.0,28.0,19.0
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",2025-11-18 17:00:00,14.675886,77.593027,6,12.0,18.0,14.0
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB",2025-11-18 17:00:00,13.67,79.35,3,18.0,356.0,39.0
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB",2025-11-18 17:00:00,13.67,79.35,2,14.0,24.0,18.0
India,Assam,Guwahati,"IITG, Guwahati - PCBA",2025-11-18 17:00:00,26.2028636,91.70046436,1,5.0,5.0,5.0
India,Assam,Guwahati,"IITG, Guwahati - PCBA",2025-11-18 17:00:00,26.2028636,91.70046436,3,1.0,41.0,28.0
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",2025-11-18 17:00:00,26.10887,91.589544,0,26.0,68.0,39.0
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",2025-11-18 17:00:00,26.1875,91.744194,6,28.0,57.0,41.0
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",2025-11-18 17:00:00,26.349082,92.68449,5,28.0,33.0,29.0
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",2025-11-18 17:00:00,26.071318,91.87488,2,6.0,10.0,7.0
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",2025-11-18 17:00:00,26.071318,91.87488,1,4.0,4.0,4.0
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",2025-11-18 17:00:00,17.72,83.3,5,98.0,157.0,129.0
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",2025-11-18 17:00:00,16.509717,80.612222,6,9.0,17.0,12.0
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB",2025-11-18 17:00:00,16.554731,80.64911,3,66.0,96.0,73.0
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",2025-11-18 17:00:00,13.615387,79.40923,2,13.0,18.0,15.0
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",2025-11-18 17:00:00,27.103358,93.679645,3,5.0,5.0,5.0
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",2025-11-18 17:00:00,26.446912,91.439057,0,14.0,30.0,21.0
India,Bihar,Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",2025-11-18 17:00:00,25.204762,85.51496,5,14.0,30.0,21.0
India,Bihar,Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",2025-11-18 17:00:00,25.204762,85.51496,2,14.0,30.0,21.0
India,Bihar,Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",2025-11-18 17:00:00,25.204762,85.51496,0,10.0,74.0,13.0
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB",2025-11-18 17:00:00,25.56752,83.966379,4,62.0,147.0,112.0
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB",2025-11-18 17:00:00,25.56752,83.966379,2,9.0,11.0,10.0
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",2025-11-18 17:00:00,25.560083,87.553265,4,9.0,103.0,57.0
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",2025-11-18 17:00:00,26.0881305,87.93840336,2,8.0,11.0,10.0
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",2025-11-18 17:00:00,26.0881305,87.93840336,6,6.0,9.0,8.0
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",2025-11-18 17:00:00,26.0881305,87.93840336,0,16.0,20.0,18.0
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",2025-11-18 17:00:00,26.987634,94.636574,0,6.0,75.0,13.0
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",2025-11-18 17:00:00,26.146529,87.454184,6,15.0,21.0,19.0
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB",2025-11-18 17:00:00,26.63086,84.90051,4,40.0,135.0,95.0
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB",2025-11-18 17:00:00,26.63086,84.90051,6,3.0,3.0,3.0
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",2025-11-18 17:00:00,25.251013,86.989001,1,3.0,3.0,3.0
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",2025-11-18 17:00:00,25.251013,86.989001,3,14.0,16.0,15.0
